kingdom,scientificName,class,order,family,genus,species,phylum,domain
,Enterobacter cloacae ECNIH4,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),ecln,,
,Enterobacter cloacae ECNIH5,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),ecli,,
,Enterobacter cloacae 34399,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),eclx,,
,Enterobacter cloacae 34977,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),ecly,,
,Enterobacter cloacae 34983,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),eclz,,
,Enterobacter cloacae ECNIH3,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),ecla,,
,Enterobacter cloacae ECR091,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),eclc,,
,Enterobacter lignolyticus SCF1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),esc,,
,Enterobacter lignolyticus G5,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),kle,,
,Enterobacter asburiae LF7a,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),eas,,
,Enterobacter asburiae L1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),eau,,
,Enterobacter hormaechei,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),ehm,,
,Enterobacter kobei,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),ekb,,
,Enterobacter ludwigii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),elg,,
,Enterobacter sp. R4-368,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),enr,,
,Enterobacter sp. E20,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),enx,,
,Enterobacter sp. FY-07,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Enterobacter (25),enf,,
,Cronobacter sakazakii ATCC BAA-894,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),esa,,
,Cronobacter sakazakii ES15,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),csk,,
,Cronobacter sakazakii Sp291,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),csz,,
,Cronobacter sakazakii CMCC 45402,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),csi,,
,Cronobacter sakazakii ATCC 29544,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),csj,,
,Cronobacter condimenti,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),ccon,,
,Cronobacter dublinensis,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),cdm,,
,Cronobacter malonaticus,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),cmj,,
,Cronobacter universalis,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),cui,,
,Cronobacter muytjensii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),cmw,,
,Cronobacter turicensis,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cronobacter (11),ctu,,
,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpn,,
,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpu,,
,Klebsiella pneumoniae subsp. pneumoniae HS11286,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpm,,
,Klebsiella pneumoniae subsp. pneumoniae 1084,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpp,,
,Klebsiella pneumoniae subsp. pneumoniae KP5-1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpk,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kph,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH27,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpz,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH29,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpv,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH30,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpw,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH31,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpy,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH32,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpg,,
,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpc,,
,Klebsiella pneumoniae subsp. pneumoniae KPR0928,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpq,,
,Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpt,,
,Klebsiella pneumoniae 342,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpe,,
,Klebsiella pneumoniae KCTC 2242,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpo,,
,Klebsiella pneumoniae subsp. rhinoscleromatis SB3432,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpr,,
,Klebsiella pneumoniae JM45,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpj,,
,Klebsiella pneumoniae CG43,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpi,,
,Klebsiella pneumoniae 30660/NJST258_1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpa,,
,Klebsiella pneumoniae 30684/NJST258_2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kps,,
,Klebsiella pneumoniae PMK1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpx,,
,Klebsiella pneumoniae blaNDM-1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpb,,
,Klebsiella pneumoniae 32192,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpne,,
,Klebsiella pneumoniae 34618,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kpnu,,
,Klebsiella variicola At-22,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kva,,
,Klebsiella variicola DX120E,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kvd,,
,Klebsiella variicola DSM 15968,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kvq,,
,Klebsiella michiganensis KCTC 1686,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kox,,
,Klebsiella michiganensis E718,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),koe,,
,Klebsiella michiganensis HKOPL1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),koy,,
,Klebsiella michiganensis RC10,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kmi,,
,Klebsiella oxytoca KONIH1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kok,,
,Klebsiella oxytoca CAV1374,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),koc,,
,Klebsiella oxytoca M1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kom,,
,Klebsiella quasipneumoniae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),kqu,,
,Enterobacter aerogenes KCTC 2190,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),eae,,
,Enterobacter aerogenes EA1509E,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Klebsiella (38),ear,,
,Citrobacter koseri,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Citrobacter (6),cko,,
,Citrobacter rodentium,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Citrobacter (6),cro,,
,Citrobacter freundii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Citrobacter (6),cfd,,
,Citrobacter amalonaticus Y19,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Citrobacter (6),cama,,
,Citrobacter amalonaticus FDAARGOS_165,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Citrobacter (6),caf,,
,Citrobacter sp. FDAARGOS_156,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Citrobacter (6),cif,,
,Candidatus Blochmannia floridanus (Camponotus floridanus),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Blochmannia (6),bfl,,
,Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Blochmannia (6),bpn,,
,Candidatus Blochmannia vafer (Camponotus vafer),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Blochmannia (6),bva,,
,Candidatus Blochmannia chromaiodes (Camponotus chromaiodes),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Blochmannia (6),bchr,,
,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Blochmannia (6),ben,,
,Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Blochmannia (6),bed,,
,Candidatus Hamiltonella defensa (Acyrthosiphon pisum),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Hamiltonella (1),hde,,
,Secondary endosymbiont of Ctenarytaina eucalypti,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified aphid symbionts (2),sect,,
,Secondary endosymbiont of Heteropsylla cubana,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified aphid symbionts (2),sehc,,
,Secondary endosymbiont of Trabutina mannipara,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified mealybug symbionts (1),senm,,
,Candidatus Riesia pediculicola,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Riesia (2),rip,,
,Candidatus Riesia sp. GBBU,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Riesia (2),rig,,
,Candidatus Moranella endobia PCIT,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Moranella (2),men,,
,Candidatus Moranella endobia PCVAL,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Moranella (2),meo,,
,Shimwellia blattae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Shimwellia (1),ebt,,
,Raoultella ornithinolytica B6,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Raoultella (2),ror,,
,Raoultella ornithinolytica S12,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Raoultella (2),ron,,
,Cedecea neteri SSMD04,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cedecea (4),cnt,,
,Cedecea neteri,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cedecea (4),cem,,
,Cedecea neteri,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cedecea (4),cen,,
,Cedecea neteri,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Cedecea (4),ced,,
,Pluralibacter gergoviae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pluralibacter (1),pge,,
,Kosakonia sacchari,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Kosakonia (4),ksa,,
,Kosakonia oryzae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Kosakonia (4),kor,,
,Kosakonia radicincitans,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Kosakonia (4),krd,,
,Kosakonia cowanii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Kosakonia (4),kco,,
,Kluyvera intermedia,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Kluyvera (1),kin,,
,Candidatus Ishikawaella capsulata,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Ishikawaella (1),icp,,
,Leclercia adecarboxylata,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Leclercia (1),lax,,
,Lelliottia amnigena,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Lelliottia (1),laz,,
,Candidatus Tachikawaea gelatinosa,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),sbw,,
,Candidatus Doolittlea endobia,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),den,,
,Candidatus Hoaglandella endobia,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),hed,,
,Candidatus Gullanella endobia,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),ged,,
,Candidatus Mikella endobia,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),cmik,,
,Enterobacteriaceae bacterium FGI 57,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),ebf,,
,Plautia stali symbiont,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Unclassified Enterobacteria (7),psts,,
,Yersinia pestis CO92 (biovar Orientalis),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ype,,
,Yersinia pestis KIM10+ (biovar Mediaevalis),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypk,,
,Yersinia pestis Antiqua (biovar Antiqua),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypa,,
,Yersinia pestis Nepal516 (biovar Antiqua),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypn,,
,Yersinia pestis 91001 (biovar Microtus),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypm,,
,Yersinia pestis Pestoides F,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypp,,
,Yersinia pestis Angola,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypg,,
,Yersinia pestis Z176003,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypz,,
,Yersinia pestis A1122,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypt,,
,Yersinia pestis D106004,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypd,,
,Yersinia pestis D182038,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypx,,
,Yersinia pestis biovar Medievalis Harbin 35,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yph,,
,Yersinia pestis PBM19,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypw,,
,Yersinia pestis Harbin35,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypj,,
,Yersinia pestis Shasta,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypv,,
,Yersinia pestis El Dorado,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypl,,
,Yersinia pseudotuberculosis IP32953 (serotype I),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yps,,
,Yersinia pseudotuberculosis IP 32953 (serotype 1),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypo,,
,Yersinia pseudotuberculosis IP31758 (serotype O:1b),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypi,,
,Yersinia pseudotuberculosis YPIII,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypy,,
,Yersinia pseudotuberculosis PB1/+,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypb,,
,Yersinia pseudotuberculosis ATCC 6904,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypq,,
,Yersinia pseudotuberculosis MD67,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypu,,
,Yersinia pseudotuberculosis EP2/+,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypr,,
,Yersinia pseudotuberculosis 1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypc,,
,Yersinia pseudotuberculosis PA3606,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ypf,,
,Yersinia enterocolitica subsp. enterocolitica 8081,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yen,,
,Yersinia enterocolitica subsp. palearctica 105.5R(r),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yep,,
,Yersinia enterocolitica subsp. palearctica Y11,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yey,,
,Yersinia enterocolitica LC20,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yel,,
,Yersinia enterocolitica WA,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yew,,
,Yersinia enterocolitica 2516-87,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yet,,
,Yersinia enterocolitica FORC_002,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yef,,
,Yersinia enterocolitica (type O:5) YE53/03,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yee,,
,Yersinia similis,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ysi,,
,Yersinia aldovae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yal,,
,Yersinia frederiksenii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yfr,,
,Yersinia intermedia,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yin,,
,Yersinia kristensenii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),ykr,,
,Yersinia rohdei,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yro,,
,Yersinia ruckeri YRB,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yru,,
,Yersinia ruckeri Big Creek 74,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yrb,,
,Yersinia aleksiciae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Yersinia (43),yak,,
,Serratia proteamaculans,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),spe,,
,Serratia plymuthica AS9,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),srr,,
,Serratia plymuthica 4Rx13,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),srl,,
,Serratia plymuthica S13,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),sry,,
,Serratia plymuthica PRI-2C,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),sply,,
,Serratia sp. AS12,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),srs,,
,Serratia sp. AS13,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),sra,,
,Serratia symbiotica,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),ssz,,
,Serratia marcescens FGI94,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),smaf,,
,Serratia marcescens WW4,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),smw,,
,Serratia marcescens SM39,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),smar,,
,Serratia marcescens subsp. marcescens Db11,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),smac,,
,Serratia liquefaciens,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),slq,,
,Serratia sp. FS14,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),serf,,
,Serratia sp. SCBI,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),sers,,
,Serratia fonticola DSM 4576,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),sfw,,
,Serratia fonticola GS2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),sfg,,
,Serratia rubidaea,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Serratia (18),srz,,
,Chania multitudinisentens,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Chania (1),sfo,,
,Rahnella sp. Y9602,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Rahnella (3),rah,,
,Rahnella aquatilis CIP 78.65 = ATCC 33071,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Rahnella (3),raq,,
,Rahnella aquatilis HX2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Rahnella (3),raa,,
,Pectobacterium atrosepticum SCRI1043,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),eca,,
,Pectobacterium atrosepticum JG10-08,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),patr,,
,Pectobacterium atrosepticum 21A,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pato,,
,Pectobacterium carotovorum subsp. carotovorum PC1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pct,,
,Pectobacterium carotovorum subsp. carotovorum PCC21,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pcc,,
,Pectobacterium carotovorum subsp. odoriferum,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pcv,,
,Pectobacterium parmentieri WPP163,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pwa,,
,Pectobacterium parmentieri RNS08.42.1A,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),ppar,,
,Pectobacterium sp. SCC3193,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pec,,
,Pectobacterium wasabiae,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Pectobacterium (10),pws,,
,Sodalis glossinidius (Glossina spp.),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Sodalis (3),sgl,,
,Sodalis praecaptivus,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Sodalis (3),sod,,
,Candidatus Sodalis pierantonius,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Sodalis (3),pes,,
,Dickeya dadantii Ech703,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Dickeya (6),dda,,
,Dickeya dadantii 3937,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Dickeya (6),ddd,,
