#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCA_000155395.1,PRJNA30055,SAMN02463676,ABQP00000000.1,na,398513,1681,Bifidobacterium bifidum NCIMB 41171,strain=NCIMB 41171,na,latest,Scaffold,Major,Full,2008-08-28,ASM15539v1,Broad Institute,GCF_000155395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/395/GCA_000155395.1_ASM15539v1,na,na,na,haploid,bacteria,2202695,2186140,63.000000,0,9,33,Broad Institute,Annotation submitted by Broad Institute,2015-03-11,1904,1852,52,na
GCA_000273525.1,PRJNA30055,SAMN02463676,AKCA00000000.1,na,398513,1681,Bifidobacterium bifidum NCIMB 41171,strain=NCIMB 41171,na,latest,Contig,Major,Full,2012-06-15,PB_Bifi_bifi_NCIMB_41171_V1,Broad Institute,GCF_000273525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/525/GCA_000273525.1_PB_Bifi_bifi_NCIMB_41171_V1,na,na,na,haploid,bacteria,2216395,2216395,63.000000,0,1,1,na,na,,0,0,0,22829535
GCA_000024445.1,PRJNA17583,SAMN02603177,na,na,401473,1689,Bifidobacterium dentium Bd1,strain=Bd1,na,latest,Complete Genome,Major,Full,2010-01-05,ASM2444v1,"Department of Genetics, Anthropology and Evolution, University of Parma, Parma, Italy",GCF_000024445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/445/GCA_000024445.1_ASM2444v1,na,na,na,haploid,bacteria,2636367,2636367,58.500000,1,1,1,"Department of Genetics, Anthropology and Evolution, University of Parma, Parma, Italy","Annotation submitted by Department of Genetics, Anthropology and Evolution, University of Parma, Parma, Italy",2014-01-30,2197,2129,68,20041198
GCA_000007525.1,PRJNA328,SAMN02603675,na,na,206672,216816,Bifidobacterium longum NCC2705,strain=NCC2705,na,latest,Complete Genome,Major,Full,2005-01-21,ASM752v1,"Nestle Research Center, Switzerland",GCF_000007525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1,na,na,na,haploid,bacteria,2260266,2260266,60.000000,2,2,2,"Nestle Research Center, Switzerland","Annotation submitted by Nestle Research Center, Switzerland",2014-01-31,1800,1729,69,12381787
GCA_000153105.1,PRJNA13488,SAMN02436112,AANZ00000000.1,reference genome,314230,124,Blastopirellula marina DSM 3645,strain=DSM 3645,na,latest,Scaffold,Major,Full,2006-04-03,ASM15310v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000153105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/105/GCA_000153105.1_ASM15310v1,na,assembly from type material,na,haploid,bacteria,6663851,6653746,57.000000,0,3,64,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2006-04-03,6079,6025,54,na
GCA_000156675.1,PRJNA30021,SAMN00008797,ABYU00000000.2,na,537007,1322,Blautia hansenii DSM 20583,strain=DSM 20583,na,latest,Scaffold,Major,Full,2009-08-21,ASM15667v1,Washington University Genome Sequencing Center,GCF_000156675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/675/GCA_000156675.1_ASM15667v1,na,assembly from type material,na,haploid,bacteria,3058721,3053221,39.000000,0,8,63,Washington University Genome Sequencing Center,Annotation submitted by Washington University Genome Sequencing Center,2009-08-21,3251,3171,80,na
GCA_002222595.2,PRJNA393727,SAMN07340700,na,reference genome,537007,1322,Blautia hansenii DSM 20583,strain=DSM 20583,na,latest,Complete Genome,Major,Full,2017-08-30,ASM222259v2,University of North Carolina at Chapel Hill,GCF_002222595.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/595/GCA_002222595.2_ASM222259v2,na,assembly from type material,na,haploid,bacteria,3065949,3065949,39.000000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2017-08-25,3045,2893,84,na
GCA_025147655.1,PRJNA746600,SAMN20222664,na,na,537007,1322,Blautia hansenii DSM 20583,strain=DSM 20583,na,latest,Complete Genome,Major,Full,2022-09-12,ASM2514765v1,Stanford University,GCF_025147655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/147/655/GCA_025147655.1_ASM2514765v1,na,assembly from type material,na,haploid,bacteria,3065591,3065591,39.000000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2022-08-02,3070,2926,89,36070752
GCA_000070465.1,PRJNA27,SAMEA1705952,na,na,360910,521,Bordetella avium 197N,strain=197N,na,latest,Complete Genome,Major,Full,2006-09-29,ASM7046v1,Sanger Institute,GCF_000070465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/070/465/GCA_000070465.1_ASM7046v1,na,na,na,haploid,bacteria,3732255,3732255,61.500000,1,1,1,Sanger Institute,Annotation submitted by Sanger Institute,2015-02-06,3474,3381,41,16885469
GCA_000195675.1,PRJNA24,SAMEA1705943,na,na,257310,518,Bordetella bronchiseptica RB50,strain=RB50,na,latest,Complete Genome,Major,Full,2003-08-12,ASM19567v1,Sanger Institute,GCF_000195675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/675/GCA_000195675.1_ASM19567v1,na,na,na,haploid,bacteria,5339179,5339179,68.000000,1,1,1,Sanger Institute,Annotation submitted by Sanger Institute,2015-02-09,5007,4994,1,12910271
GCA_000023405.1,PRJNA17026,SAMN00002685,na,na,446465,43669,Brachybacterium faecium DSM 4810,strain=DSM 4810,na,latest,Complete Genome,Major,Full,2009-08-25,ASM2340v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/405/GCA_000023405.1_ASM2340v1,RefSeq annotation failed,assembly from type material,na,haploid,bacteria,3614992,3614992,72.000000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2014-05-14,3191,3068,62,21304631
GCA_000015165.1,PRJNA16137,SAMN02598359,na,na,288000,288000,Bradyrhizobium sp. BTAi1,strain=BTAi1,na,latest,Complete Genome,Major,Full,2007-05-11,ASM1516v1,US DOE Joint Genome Institute,GCF_000015165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/165/GCA_000015165.1_ASM1516v1,na,na,na,haploid,bacteria,8493513,8493513,65.000000,2,2,2,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2016-07-23,7810,7622,69,17540897
GCA_000022645.2,PRJNA33901,SAMN02603166,na,na,626418,337,Burkholderia glumae BGR1,strain=BGR1,na,latest,Complete Genome,Major,Full,2011-07-05,ASM2264v1,Crop Functional Genomics Center,GCF_000022645.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/645/GCA_000022645.2_ASM2264v1,na,na,na,haploid,bacteria,7284636,7284636,68.000000,6,6,6,Crop Functional Genomics Center,Annotation submitted by Crop Functional Genomics Center,2016-07-25,6304,5772,81,19329631
GCA_000011705.1,PRJNA171,SAMN02603987,na,na,243160,13373,Burkholderia mallei ATCC 23344,strain=ATCC 23344,na,latest,Complete Genome,Major,Full,2004-09-22,ASM1170v1,TIGR,GCF_000011705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1,na,assembly from type material,na,haploid,bacteria,5835527,5835527,68.500000,2,2,2,TIGR,Annotation submitted by TIGR,2014-01-31,5509,5025,69,15377793
GCA_000011545.1,PRJNA178,SAMEA1705938,na,na,272560,28450,Burkholderia pseudomallei K96243,strain=K96243,na,latest,Complete Genome,Major,Full,2004-09-16,ASM1154v1,Sanger Institute,GCF_000011545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1,na,na,na,haploid,bacteria,7247547,7247547,68.000000,2,2,2,Sanger Institute,Annotation submitted by Sanger Institute,2015-02-06,5854,5728,0,15377794
GCA_000959285.1,PRJNA235893,SAMN03075610,na,na,272560,28450,Burkholderia pseudomallei K96243,strain=K96243,na,latest,Complete Genome,Major,Full,2015-03-20,ASM95928v1,Los Alamos National Laboratory,GCF_000959285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/285/GCA_000959285.1_ASM95928v1,na,na,na,haploid,bacteria,7247614,7247614,68.000000,2,2,2,Los Alamos National Laboratory,Annotation submitted by Los Alamos National Laboratory,2015-06-02,6004,5931,72,25931592
GCA_000016205.1,PRJNA10696,SAMN02598263,na,na,269482,60552,Burkholderia vietnamiensis G4,strain=G4,na,latest,Complete Genome,Major,Full,2007-03-27,ASM1620v1,US DOE Joint Genome Institute,GCF_000016205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/205/GCA_000016205.1_ASM1620v1,genome length too large,na,na,haploid,bacteria,8391070,8391070,65.500000,8,8,8,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2016-07-14,7863,7617,88,na
GCA_000016545.1,PRJNA13466,SAMN00623033,na,reference genome,351627,44001,Caldicellulosiruptor saccharolyticus DSM 8903,strain=DSM 8903,na,latest,Complete Genome,Major,Full,2007-04-19,ASM1654v1,US DOE Joint Genome Institute,GCF_000016545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/545/GCA_000016545.1_ASM1654v1,na,assembly from type material,na,haploid,bacteria,2970275,2970275,35.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2013-12-11,2844,2682,58,18776029
GCA_000167415.1,PRJNA12516,SAMN02435832,AAFL00000000.1,na,306254,195,Campylobacter coli RM2228,strain=RM2228,na,latest,Scaffold,Major,Full,2005-01-04,ASM16741v1,TIGR,GCF_000167415.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/415/GCA_000167415.1_ASM16741v1,na,na,na,haploid,bacteria,1860666,1860666,31.000000,1,38,38,TIGR,Annotation submitted by TIGR,2005-01-07,2033,1967,58,15660156
GCA_000830805.1,PRJNA215043,SAMN02316408,na,na,1385723,197,Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1,strain=NCTC 11168-Kf1,na,latest,Complete Genome,Major,Full,2014-02-28,ASM83080v1,Agriculture & Agri-Food Canada,GCF_000830805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/805/GCA_000830805.1_ASM83080v1,na,na,na,haploid,bacteria,1641480,1641480,30.500000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2013-08-16,1736,1666,53,24516617
GCA_000830865.1,PRJNA215043,SAMN02316409,na,na,1385724,197,Campylobacter jejuni subsp. jejuni NCTC 11168-GSv,strain=NCTC 11168-rNRC,na,latest,Complete Genome,Major,Full,2014-02-28,ASM83086v1,Agriculture & Agri-Food Canada,GCF_000830865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/865/GCA_000830865.1_ASM83086v1,na,na,na,haploid,bacteria,1641482,1641482,30.500000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2013-08-16,1739,1669,53,24516617
GCA_000019205.1,PRJNA12517,SAMN02604025,na,na,306263,201,Campylobacter lari RM2100,strain=RM2100; ATCC BAA-1060D,na,latest,Complete Genome,Major,Full,2009-02-05,ASM1920v1,TIGR,GCF_000019205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/205/GCA_000019205.1_ASM1920v1,na,na,na,haploid,bacteria,1571661,1571661,29.500000,2,2,2,TIGR,Annotation submitted by TIGR,2019-09-27,1614,1538,58,18713059;25381664
GCA_000167395.1,PRJNA12518,SAMN02435831,AAFJ00000000.1,na,306264,28080,Campylobacter upsaliensis RM3195,strain=RM3195,na,latest,Scaffold,Major,Full,2005-01-04,ASM16739v1,TIGR,GCF_000167395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/395/GCA_000167395.1_ASM16739v1,na,na,na,haploid,bacteria,1773834,1773834,34.500000,2,20,20,TIGR,Annotation submitted by TIGR,2018-08-14,1998,1934,53,15660156
GCA_000092285.1,PRJNA37277,SAMN02598513,na,na,509190,88688,Caulobacter segnis ATCC 21756,strain=ATCC 21756,na,latest,Complete Genome,Major,Full,2010-04-30,ASM9228v1,US DOE Joint Genome Institute,GCF_000092285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/285/GCA_000092285.1_ASM9228v1,na,assembly from type material,na,haploid,bacteria,4655622,4655622,67.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2014-01-28,4325,4139,60,na
GCA_000019225.1,PRJNA28329,SAMN02603448,na,reference genome,498211,155077,Cellvibrio japonicus Ueda107,strain=Ueda107,na,latest,Complete Genome,Major,Full,2008-06-19,ASM1922v1,J. Craig Venter Institute,GCF_000019225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/225/GCA_000019225.1_ASM1922v1,na,assembly from type material,na,haploid,bacteria,4576573,4576573,52.000000,1,1,1,J. Craig Venter Institute,Annotation submitted by J. Craig Venter Institute,2014-01-31,3816,3754,58,18556790
GCA_000024005.1,PRJNA27951,SAMN00001914,na,reference genome,485918,79329,Chitinophaga pinensis DSM 2588,strain=DSM 2588,na,latest,Complete Genome,Major,Full,2009-08-19,ASM2400v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000024005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/005/GCA_000024005.1_ASM2400v1,na,assembly from type material,na,haploid,bacteria,9127347,9127347,45.000000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2013-12-24,7400,7192,98,21304681
GCA_000020505.1,PRJNA29213,SAMN02598460,na,reference genome,517417,274539,Chlorobaculum parvum NCIB 8327,strain=NCIB 8327,na,latest,Complete Genome,Major,Full,2008-06-27,ASM2050v1,US DOE Joint Genome Institute,GCF_000020505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/505/GCA_000020505.1_ASM2050v1,na,na,na,haploid,bacteria,2289249,2289249,56.000000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2014-01-28,2141,2043,58,na
GCA_000168715.1,PRJNA16644,SAMN02441792,AASE00000000.1,reference genome,377431,84205,Chlorobium ferrooxidans DSM 13031,strain=DSM 13031,na,latest,Contig,Major,Full,2006-07-13,ASM16871v1,DOE Joint Genome Institute,GCF_000168715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/715/GCA_000168715.1_ASM16871v1,na,assembly from type material,na,haploid,bacteria,2538957,2538957,50.000000,0,47,47,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2006-07-13,2205,2158,46,na
GCA_000020465.1,PRJNA12606,SAMN02598270,na,reference genome,290315,1092,Chlorobium limicola DSM 245,strain=DSM 245,na,latest,Complete Genome,Major,Full,2008-06-04,ASM2046v1,US DOE Joint Genome Institute,GCF_000020465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/465/GCA_000020465.1_ASM2046v1,na,assembly from type material,na,haploid,bacteria,2763181,2763181,51.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2019-09-10,2578,2434,54,na
GCA_000015125.1,PRJNA12609,SAMN02598273,na,reference genome,290317,1096,Chlorobium phaeobacteroides DSM 266,strain=DSM 266,na,latest,Complete Genome,Major,Full,2006-12-11,ASM1512v1,US DOE Joint Genome Institute,GCF_000015125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1,na,assembly from type material,na,haploid,bacteria,3133902,3133902,48.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2019-09-06,2799,2650,56,na
GCA_000021945.1,PRJNA16708,SAMN00623036,na,reference genome,326427,152260,Chloroflexus aggregans DSM 9485,strain=DSM 9485,na,latest,Complete Genome,Major,Full,2009-01-05,ASM2194v1,US DOE Joint Genome Institute,GCF_000021945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/945/GCA_000021945.1_ASM2194v1,na,assembly from type material,na,haploid,bacteria,4684931,4684931,56.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2013-12-11,3903,3730,60,na
GCA_000020525.1,PRJNA29215,SAMN02598461,na,reference genome,517418,100716,Chloroherpeton thalassium ATCC 35110,strain=ATCC 35110,na,latest,Complete Genome,Major,Full,2008-06-27,ASM2052v1,US DOE Joint Genome Institute,GCF_000020525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/525/GCA_000020525.1_ASM2052v1,na,assembly from type material,na,haploid,bacteria,3293456,3293456,45.000000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2014-01-28,2782,2710,50,na
GCA_000007705.1,PRJNA444,SAMN02603528,na,na,243365,536,Chromobacterium violaceum ATCC 12472,strain=ATCC 12472,na,latest,Complete Genome,Major,Full,2003-08-22,ASM770v1,"LNCC, Brazil",GCF_000007705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/705/GCA_000007705.1_ASM770v1,na,assembly from type material,na,haploid,bacteria,4751080,4751080,65.000000,1,1,1,"LNCC, Brazil","Annotation submitted by LNCC, Brazil",2014-01-31,4529,4407,122,14500782
GCA_000063485.1,PRJNA19643,SAMEA3138263,na,na,443906,28447,Clavibacter michiganensis subsp. michiganensis NCPPB 382,strain=NCPPB 382,na,latest,Complete Genome,Major,Full,2007-05-19,ASM6348v1,"Center For Biotechnology, Bielefeld University, Germany",GCF_000063485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/485/GCA_000063485.1_ASM6348v1,na,na,na,haploid,bacteria,3395237,3395237,72.500000,3,3,3,"Center For Biotechnology, Bielefeld University, Germany","Annotation submitted by Center For Biotechnology, Bielefeld University, Germany",2016-07-23,3163,3079,55,18192381
GCA_000008765.1,PRJNA77,SAMN02603243,na,na,272562,1488,Clostridium acetobutylicum ATCC 824,strain=ATCC 824,na,latest,Complete Genome,Major,Full,2002-11-22,ASM876v1,Genome Therapeutics,GCF_000008765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/765/GCA_000008765.1_ASM876v1,na,assembly from type material,na,haploid,bacteria,4132880,4132880,31.000000,2,2,2,Genome Therapeutics,Annotation submitted by Genome Therapeutics,2012-02-21,4022,3848,103,11466286
GCA_000063585.1,PRJNA193,SAMEA1705919,na,reference genome,413999,1491,Clostridium botulinum A str. ATCC 3502,strain=ATCC 3502,na,latest,Complete Genome,Major,Full,2007-05-24,ASM6358v1,Sanger Institute,GCF_000063585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/585/GCA_000063585.1_ASM6358v1,na,na,na,haploid,bacteria,3903260,3903260,28.000000,2,2,2,Sanger Institute,Annotation submitted by Sanger Institute,2015-02-06,3709,3591,39,17519437
GCA_000171115.1,PRJNA20023,SAMN02436238,ABDT00000000.1,na,447214,1492,Clostridium butyricum 5521,strain=5521,na,latest,Contig,Major,Full,2008-04-10,ASM17111v1,J. Craig Venter Institute,GCF_000171115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/115/GCA_000171115.1_ASM17111v1,na,na,na,haploid,bacteria,4540699,4540699,29.000000,0,123,123,J. Craig Venter Institute,Annotation submitted by J. Craig Venter Institute,2008-04-10,4210,3827,124,24970833
GCA_000016505.1,PRJNA19065,SAMN02603294,na,na,431943,1534,Clostridium kluyveri DSM 555,strain=DSM 555,na,latest,Complete Genome,Major,Full,2007-07-19,ASM1650v1,Gottingen Genomics Laboratory G2L,GCF_000016505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/505/GCA_000016505.1_ASM1650v1,na,assembly from type material,na,haploid,bacteria,4023800,4023800,32.000000,2,2,2,Gottingen Genomics Laboratory G2L,Annotation submitted by Gottingen Genomics Laboratory G2L,2016-07-23,3994,3913,81,18218779
GCA_000014125.1,PRJNA16820,SAMN02603464,na,na,386415,1542,Clostridium novyi NT,strain=NT,na,latest,Complete Genome,Major,Full,2006-11-17,ASM1412v1,Johns Hopkins Kimmel Comprehensive Cancer Center,GCF_000014125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/125/GCA_000014125.1_ASM1412v1,na,na,na,haploid,bacteria,2547720,2547720,29.000000,1,1,1,Johns Hopkins Kimmel Comprehensive Cancer Center,Annotation submitted by Johns Hopkins Kimmel Comprehensive Cancer Center,2014-01-31,2436,2325,111,17115055
GCA_000013285.1,PRJNA304,SAMN02604008,na,na,195103,1502,Clostridium perfringens ATCC 13124,strain=ATCC 13124,na,latest,Complete Genome,Major,Full,2006-07-25,ASM1328v1,TIGR,GCF_000013285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/285/GCA_000013285.1_ASM1328v1,na,assembly from type material,na,haploid,bacteria,3256683,3256683,28.500000,1,1,1,TIGR,Annotation submitted by TIGR,2017-03-16,3016,2876,117,16825665
GCA_964278545.1,PRJEB70412,SAMEA116143213,CAXYLD000000000.1,na,195103,1502,Clostridium perfringens ATCC 13124,na,CC01445,latest,Scaffold,Major,Full,2025-06-08,CC01445,MONASH INSTITUTE OF MEDICAL RESEARCH - MONASH UNIVERSITY,GCF_964278545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/278/545/GCA_964278545.1_CC01445,na,na,na,haploid,bacteria,3393132,3393016,28.000000,0,36,39,na,na,,0,0,0,na
GCA_964283525.1,PRJEB70412,SAMEA116143222,CAXYLM000000000.1,na,195103,1502,Clostridium perfringens ATCC 13124,na,CC01443,latest,Scaffold,Major,Full,2025-06-08,CC01443,MONASH INSTITUTE OF MEDICAL RESEARCH - MONASH UNIVERSITY,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/283/525/GCA_964283525.1_CC01443,unverified source organism; genome length too large,na,na,haploid,bacteria,5385815,5385614,41.500000,0,54,57,na,na,,0,0,0,na
GCA_000007625.1,PRJNA81,SAMN02603289,na,reference genome,212717,1513,Clostridium tetani E88,strain=Massachusetts substr. E88,na,latest,Complete Genome,Major,Full,2003-02-04,ASM762v1,Gottingen Genomics Laboratory,GCF_000007625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/625/GCA_000007625.1_ASM762v1,na,na,na,haploid,bacteria,2873333,2873333,28.500000,2,2,2,Gottingen Genomics Laboratory,Annotation submitted by Gottingen Genomics Laboratory,2016-07-24,2506,2432,72,12552129
GCA_000012325.1,PRJNA275,SAMN02604001,na,reference genome,167879,28229,Colwellia psychrerythraea 34H,strain=34H; BAA-681,na,latest,Complete Genome,Major,Full,2005-07-26,ASM1232v1,TIGR,GCF_000012325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/325/GCA_000012325.1_ASM1232v1,na,na,na,haploid,bacteria,5373180,5373180,38.000000,1,1,1,TIGR,Annotation submitted by TIGR,2018-08-14,5054,4910,117,16043709
GCA_000173655.1,PRJNA31007,SAMN00000714,ABZU00000000.1,na,553204,43765,Corynebacterium amycolatum SK46,strain=SK46,na,latest,Contig,Major,Full,2008-11-21,ASM17365v1,J. Craig Venter Institute,GCF_000173655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/655/GCA_000173655.1_ASM17365v1,na,na,na,haploid,bacteria,2513912,2513912,58.500000,0,48,48,J. Craig Venter Institute,Annotation submitted by J. Craig Venter Institute,2013-06-14,2241,2103,54,na
GCA_000022905.1,PRJNA37279,SAMN02603064,na,reference genome,548476,169292,Corynebacterium aurimucosum ATCC 700975,strain=DSM 44827; ATCC 700975,na,latest,Complete Genome,Major,Full,2009-04-24,ASM2290v1,"Center for BioTechnology, Bielefeld University",GCF_000022905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/905/GCA_000022905.1_ASM2290v1,na,assembly from heterotypic synonym type material,na,haploid,bacteria,2819226,2819226,60.500000,2,2,2,"Center for BioTechnology, Bielefeld University","Annotation submitted by Center for BioTechnology, Bielefeld University",2016-07-26,2614,2540,67,20137072
GCA_000174695.1,PRJNA31451,SAMN00138950,ACLH00000000.1,na,548476,169292,Corynebacterium aurimucosum ATCC 700975,strain=ATCC 700975,na,latest,Contig,Major,Full,2009-04-27,ASM17469v1,Baylor College of Medecine,GCF_000174695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/695/GCA_000174695.1_ASM17469v1,na,assembly from heterotypic synonym type material,na,haploid,bacteria,2730325,2730325,60.500000,0,101,101,na,na,,0,0,0,na
GCA_007672635.1,PRJNA543692,SAMN11792574,VDSY00000000.1,na,548476,169292,Corynebacterium aurimucosum ATCC 700975,strain=DE0414,na,latest,Scaffold,Major,Full,2019-07-30,ASM767263v1,BGI,GCF_007672635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/672/635/GCA_007672635.1_ASM767263v1,unverified source organism,na,na,haploid,bacteria,2666757,2666367,61.000000,0,33,37,na,na,,0,0,0,na
GCA_007672675.1,PRJNA543692,SAMN11792572,VDTA00000000.1,na,548476,169292,Corynebacterium aurimucosum ATCC 700975,strain=DE0412,na,latest,Scaffold,Major,Full,2019-07-30,ASM767267v1,BGI,GCF_007672675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/672/675/GCA_007672675.1_ASM767267v1,unverified source organism,na,na,haploid,bacteria,2671873,2671485,61.000000,0,48,52,na,na,,0,0,0,na
GCA_007672725.1,PRJNA543692,SAMN11792570,VDTC00000000.1,na,548476,169292,Corynebacterium aurimucosum ATCC 700975,strain=DE0410,na,latest,Scaffold,Major,Full,2019-07-30,ASM767272v1,BGI,GCF_007672725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/672/725/GCA_007672725.1_ASM767272v1,unverified source organism,na,na,haploid,bacteria,3023069,3022640,61.000000,0,1237,1245,na,na,,0,0,0,na
GCA_000195815.1,PRJNA87,SAMEA1705951,na,na,257309,1717,Corynebacterium diphtheriae NCTC 13129,strain=NCTC 13129,na,latest,Complete Genome,Major,Full,2003-11-10,ASM19581v1,Sanger Institute,GCF_000195815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/815/GCA_000195815.1_ASM19581v1,na,na,na,haploid,bacteria,2488635,2488635,53.500000,1,1,1,Sanger Institute,Annotation submitted by Sanger Institute,2015-02-09,2343,2272,23,14602910
